Program Type,Institution Name,Program Name,Website Address,Description,Location,Cost,Deadline,Application Deadline,Age Eligibility,"Grade, Year in School, Eligibility",Geographic Location,Cost Type,Cost Amount,Special Considerations,STEM,Business/ Economics,Arts/Music,Humanities,World Languages/ Cultures,Leadership,Sports/ Outdoor Adventures,Grade Eligibility,Last Updated Date,Unnamed: 21,AI_Category
Camps & Pre-college Program,Boston University,Tanglewood Institute,http://www.bu.edu/tanglewood,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Brandeis University,Pre-College Programs,http://www.brandeis.edu/highschool,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Brown University,Brown Leadership Institute,http://www.brown.edu/ce/pre-college/leadership/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Brown University,Pre-College Programs,http://www.brown.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Bucknell University,Chemistry Camp,http://www.bucknell.edu/ChemistryCamp,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"California - Berkeley, University of",Academic Talent Development Program - ATDP,http://atdp.berkeley.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"California - Berkeley, University of",embARC Summer Design Academy,http://ced.berkeley.edu/academics/summer-programs/embarc-design-academy,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"California - Los Angeles, University of",UCLA Summer Institutes,http://www.summer.ucla.edu/Institutes/GeneralInfo/highschool.htm,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"California - San Diego, University of",Academic Connections,http://academicconnections.ucsd.edu/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,California College of Arts,Pre-College Programs,http://www.cca.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,California State Summer School for the Arts,California State Summer School for the Arts,http://www.csssa.org/,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,"California, University of",COSMOS-Summer School for Mathematics & Science,http://cosmos-ucop.ucdavis.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Cambridge University,Cambridge Immerse,https://www.cambridgeimmerse.com/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Cambridge University,CAMBRIDGE Immerse,http://www.cambridgeimmerse.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Camp Encore/Coda,Music Camp,http://www.encore-coda.com,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Carleton College,Summer Academic Programs,http://apps.carleton.edu/summer/programs/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Carnegie Mellon University,Summer Pre-College Programs,http://www.cmu.edu/enrollment/pre-college,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Catholic University of America,Pre-College Programs,http://summer.cua.edu/precollege/index.cfm,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"Chicago, University of",Summer Session,http://summer.uchicago.edu/hs,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Clemson University,"Summer Science, Engineering and Architecture Enrichment Programs",http://www.clemson.edu/summer/summer-science/index.html,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Close Up Washington,Washington High School Programs,http://www.CloseUp.org,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Cold Spring Harbor Laboratory,DNA Summer Camps,http://summercamps.dnalc.org/info/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Colorado College,Summer Session 2017,http://www.coloradocollege.edu/summer,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Columbia University,Summer Programs for High School Students,http://www.ce.columbia.edu/hs,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Cook Honors College,Summer Honors Program,http://www.iup.edu/honors/summer,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Cooper Union,Summer Writing Program,http://www.cooper.edu/academics/outreach-and-pre-college/summer-writing,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Cornell University,Summer College Programs for High School Students,http://www.sce.cornell.edu/sc/index.php,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Cornell University,CATALYST Academy,http://www.engineering.cornell.edu/catalyst,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Cornell University,The Curie Academy - Diversity Programs,http://www.engineering.cornell.edu/curie,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Crow Canyon Archaeological Center,High School Archaeology & Field Camp,http://www.crowcanyon.org/summercamps,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Davidson College,July Experience,http://www.davidson.edu/JulyExperience,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Davidson Institute for Talent Development,Davidson THINK Summer Institute,http://www.davidsongifted.org/think,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Dayton, University of",Engineering Summer Camp,http://www.udayton.edu/engineering/hs_programs/women_in_engineering_summer_camp.php,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Delaware, University of",Pre-College Program,http://www.udel.edu/edge/courses.html,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Denison University,Jonathan R. Reynolds Young Writers Workshop,http://reynolds.denison.edu,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,DeSales University,Summer Video Institute,http://www.desales.edu/svi,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,DigiPen Institute of Technology,ProjectFUN Workshops,https://projectfun.digipen.edu/summer-programs/teen-workshops,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,DigiPen Institute of Technology,Pre-College Program,https://projectfun.digipen.edu/pre-college-program,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Digital Media Academy,Summer Camp,http://www.DigitalMediaAcademy.org,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Drexel University,Summer Institutes Pre-College Programs,http://www.drexel.edu/summer,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Duke University,Duke Youth Programs,http://www.learnmore.duke.edu/youth,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Education Unlimited,Summer programs,http://educationunlimited.com/pages/all_camps_summary,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Embry-Riddle Aeronautical University,Precollege Discory Summer Programs,http://prescott.erau.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Embry-Riddle Aeronautical University,Aerospace Summer Camps,http://daytonabeach.erau.edu/summer,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Emerson College,Pre-College Programs,http://www.emerson.edu/academics/pre-college,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Emory University,Pre-College Program,http://www.precollege.emory.edu,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Envision,Stanford Intensive Law & Trial Forum,http://www.envisionexperience.com/explore-our-programs/intensive-law-and-trial,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Fairfax County Public School,Summer Institute for the Arts (IFTA),http://www.fcps.edu/is/finearts/ifta.shtml,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Foundation for Teaching Economics,Economics for Leaders (EFL),http://www.fte.org/student-programs/economics-for-leaders-program/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Friends of the National Zoo (FONZ),Nature Camp at the Smithsonian Conservation Biology Institute,http://www.fonznaturecamp.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Furman University,Summer Scholars,http://www.furman.edu/admission/EngageFurman/Visit/Pages/summer-scholars.aspx,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Future Leader Camp,Future Leader Camp,http://www.norwich.edu/admissions/futureleader/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Gallaudet University,Summer Youth Camp,http://www.gallaudet.edu/youth-programs/summer-youth-camps,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,George Washington University,Pre-College Program,https://summer.gwu.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Georgetown University,Summer Programs for High School Students,http://scs.georgetown.edu/departments/21/summer-programs-for-high-school-students,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Georgia Institute of Technology,Bio@Tech,http://www.biology.gatech.edu/biotech.php,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Gettysburg College,Camp Psych,http://www.gettysburg.edu/camppsych/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Global Public Service Academies,GPSA for Health,http://www.gpsa.org/academy-for-health/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Global Youth Village,International Summer Program,http://www.globalyouthvillage.org/participate/gyv-programs/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Goethe Institute,German Language Intensive,https://www.goethe.de/ins/de/en/index.html,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Great Books Foundation,Great Books Summer Program,http://www.GreatBooksSummer.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Hampshire College,Summer Studies in Mathematics,http://www.hcssim.org,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Harvard University,Secondary School Program,http://www.summer.harvard.edu/high-school-programs/secondary-school-program,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Hillsdale College,High School Programs,https://www.hillsdale.edu/academics/high-school-programs/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,ID Tech Camps and Programming Academy,ID Tech Camps and Programming Academy,http://www.idtech.com/locations/washington-dc-summer-camps/#!,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,IE University,Summer Program,https://www.ie.edu/university/ieu-experience/pre-college-activities/summer-program/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Illinois Aerospace Institute,Summer Camp,http://iai.aerospace.illinois.edu/,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,"Illinois, University of",G.A.M.E.S. Summer Camp,http://publish.illinois.edu/womeninengineering/camps/g-a-m-e-s-camp/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Imperial College London,Global Summer School,https://www.imperial.ac.uk/be-inspired/global-summer-school/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Indiana University,Business is Global (BIG):Summer Language Programs,http://go.iu.edu/6bw,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Interlochen Center For The Arts,Interlochen Arts Camp,http://www.camp.interlochen.org/,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,International Mathematical Summer School for Students,International Mathematical Summer School,http://www.math.jacobs-university.de/summerschool/2015/index.php,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,ISA,"High School Study Abroad
For College Credit & Volunteer Programs",http://studiesabroad.com/high-school/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Ithaca College,Summer College for High School Students,http://www.ithaca.edu/summercollege,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,James Madison University,Summer Honors Institute,https://www.jmu.edu/outreach/programs/all/honorscamp/index.shtml,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Johns Hopkins University,CTY - Civic Leadership Institute,http://cty.jhu.edu/summer/leadership.html,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Johns Hopkins University,Engineering Innovation,http://engineering-innovation.jhu.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Johns Hopkins University,Pre-College Programs: Discover Hopkins & Summer University,http://www.jhu.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Julian Krinsky Camps and Programs,PreCollege Summer Programs,http://www.jkcp.com,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Junior Statesman Foundation,Junior Statesman Summer Program,http://summer.jsa.org/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Kettering University,LITE - Lives Improve Through Engineering,https://www.kettering.edu/precollege/residential#lite,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Kopernik Observatory & Science Center,MS/HS Camp,http://www.kopernik.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Korean University,Summer ISC,http://summer.korea.ac.kr,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Language Travel Company,Language Travel Company,http://www.thelanguagetravelcompany.com,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,LEAD,LEAD Business,http://www.leadprogram.org/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,LEAD,LEAD Computer Science,http://www.leadprogram.org,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,LEAD,LEAD Engineering,http://www.leadprogram.org,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Lebanon Valley College,Health & Biological Sciences Camp,http://www.lvc.edu/health-bio-summer-camp,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Lehigh University,Summer Sessions,http://www.lehigh.edu/summersessions/getstarted/hss.html,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Lewis & Clark College of Arts & Sciences,Fir Acres Workshop,http://college.lclark.edu/programs/fir_acres/,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Leysin American School,Summer in Switzerland,http://www.las.ch/summer/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Loyola University Chicago,Pre-Collegiate Summer Scholars,http://LUC.edu/summerscholars,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Maine Media,Young Artists Workshops,http://www.mainemedia.edu/workshops/young-artists,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Manhattan College,Advanced Placement Summer Institute,http://www.manhattan.edu/ap,,,,,,,,,,,,,,,,,,,,,,Education
Camps & Pre-college Program,Marist,Summer Pre-college,http://www.marist.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Marlboro College,Pre-college summer programs,https://www.marlboro.edu/admissions/teens/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Maryland Institute College of Art,Pre-College Studio Residency Program,https://www.mica.edu/Programs_of_Study/Programs_for_Children_and_Teens/Programs_for_High_School_Students/Summer_Pre-College.html,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Maryland Leadership Workshops,Leadership Workshops,http://www.mlw.org,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Maryland State Department of Education,Summer Centers,http://www.marylandpublicschools.org/MSDE/programs/giftedtalented/centers.htm,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Maryland, University of",Terp Young Scholars,http://ysp.umd.edu,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Maryland, University of",Entrepreneurship Essentials,http://www.mtech.umd.edu/educate/entrepreneurship_essentials/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,"Maryland, University of",Young Scholars Program,http://www.ysp.umd.edu/pc,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Maryland, University of","SPICE: Students with Potential and Interest, Considering Engineering",http://www.wie.umd.edu/k12/spice-camp,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Maryland, University of",Cyber Defense Training Camp,http://www.cyber.umd.edu/education/cyber-defense,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Maryland, University of",Discovering Engineering,http://www.ursp.umd.edu/summer,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Maryland, University of",Intermediate CyberSTEM Camp,http://cyber.umd.edu/education/intermediate-cyber-stem,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Maryland-DC Scholastic Press Association,Summer Journalism Program,http://www.mdcspa.org/summer-program/,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,Marymount University,DC Summer Institutes for HS Students,http://marymount.edu/summer/dc,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Math Zoom Summer Camp,Math Zoom Summer Program,http://www.mathzoom.org,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Mathematics Foundation of America,Canada/USA Mathcamp,http://www.mathcamp.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Miami University (Ohio),Miami University Summer Scholars Program,http://www.MiamiOH.edu/summerscholars,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Miami, University of",Summer Scholars Program,www.miami.edu/ssp,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Miami, University of - School of Architecture",Explorations,http://miami.edu/dcie/index.php/ssp,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Michigan Tech Summer Youth Programs,Pre-College Explorations,http://youthprograms.mtu.edu/index.php,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"Michigan, University of",Pre-College Programs,http://stamps.umich.edu/pre-college,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"Michigan, University of",Math and Science Scholars Summer Program,http://www.math.lsa.umich.edu/mmss,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Michigan, University of",Pre-College Summer Studio,http://art-design.umich.edu/prospective/summer,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,National Computer Camps,Summer Computer Camp,http://www.nccamp.com/index.html,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,National Geographic,Student Expeditions,http://www.ngstudentexpeditions.com,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,National Outdoor Leadership School (NOLS),Wilderness Education Courses (10 days to a year long),http://www.nols.edu/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,"Nevada, University of",Davidson THINK Summer Institute,http://www.DavidsonGifted.org/THINK,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"New Hampshire, University of",Project SMART Summer Institute,http://www.smart.unh.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"New Jersey, College of",Bonner Summer Fellows Program,https://precollege.tcnj.edu/courses/bonner-summer-fellows/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,New York University Precollege Summer Programs,NYU Precollege,http://www.nyu.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,"New York University, Steinhardt School of Culture, Education and Human Deve",Music Business Summer Institute,http://steinhardt.nyu.edu/music/summer/wmas/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,North Carolina School for the Arts,Summer Session,https://www.uncsa.edu/summer/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,North Carolina State University,Summer Program in Nuclear Technology,https://www.ne.ncsu.edu/news/article/28921/nc-state-nuclear-engineering-students-win,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,North Carolina State University,Pre-College Programs,http://emas.ncsu.edu/precollege/programs/high-school-students/,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,North Carolina State University,Veterinary Camp,http://harvest.cals.ncsu.edu/vetpac/index.cfm?pageID=5165,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,North Carolina State University,College of Engineering Summer Programs for High School Students,http://www.engr.ncsu.edu/theengineeringplace/summerprograms/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Northeastern University,Summer Seminars,http://pages.northeastern.edu/Email.NortheasternGuidanceCounselors_NUGuidanceCounselorsLP.html,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,"Northern Colorado, University of",Frontiers of Science Institute (FSI),http://www.fsiunc.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Northern Virginia Writing Project,Student Summer Institute,http://www.nvwp.org/youngwriters/ssi/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Northfield Mount Hermon Summer Session,College Prep Program,http://www.nmhschool.org/summer-session,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Northwestern University,Center for Talent Development - Gifted Learning Links,http://www.ctd.northwestern.edu/gll,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Northwestern University,College Preparation Program,http://www.northwestern.edu/collegeprep,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Northwestern University,Equinox (Honors & AP Courses),http://www.ctd.northwestern.edu/summer/programs/equinox/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Northwestern University,National High School Institute,http://northwestern.edu/nhsi,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Norwich University,Future Leader Camp,http://www.norwich.edu/admissions/summerprograms/flc/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Notre Dame, University of",Introduction to Engineering Program,http://iep.nd.edu,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Notre Dame, University of (School of Architecture)",Career Discovery,http://architecture.nd.edu/careerdiscovery,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Oberlin College,Foresight Leadership & Sustainability Initiative,http://www.foresightprep.org/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Ohio State University,Stone Lab,http://stonelab.osu.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Ohio State University,Ross Mathematics Program,http://www.math.ohio-state.edu/ross,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Ohio State University,Summer Linguistic Institute,http://www.ling.ohio-state.edu/sliys/sliys12.php,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Oxbridge Academic Programs,"Cambridge and Oxford Tradition, L' Academie De Paris, more below",http://www.oxbridgeprograms.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Oxford Royale Academy,Oxford Summer Schools,http://www.oxford-royale.co.uk,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Oxford Tutorial College,Oxford Advanced Studies Program,http://www.oasp.ac.uk,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Oxford University,OXBRIDGE Immerse,http://www.oxbridgeimmerse.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Oxford University,Oxbridge Advanced Studies Program,http://www.theoxfordedge.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,PA School for Global Entrepreneurship (PGSE) at Lehigh University,PA School for Global Entrepreneurship (PGSE),http://www.iacocca-lehigh.org/Iacocca/psge/,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Pace University,Summer Scholars Institute,http://www.pace.edu/summer-scholars,,,,,,,,,,,,,,,,,,,,,,Humanities
